NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -∞
7.640591893823939 -9.0485334971201876 -3.0712876014328319 -1.6657290757912051 -8.2074249522512677 -19.212112257649878 -22.890777935828623 -5.9605359414559835 1.7242494357378573 -11.611767992865008 8.3840106867289954 -5.31543936429507 82.837918712487181
9.22667164277179 -7.5142398272864188 -6.3935054420901887 -6.0447815436138539 -8.7979460779852339 -14.842601825527012 -17.935666804497167 -9.6979466082531331 -6.4153661135143434 -4.598185858178188 10.506325832153083 -4.4262238962060154 80.6467030156874
10.012377922945179 -6.9556457013522719 -8.4636921048877483 -9.4991812256146222 -4.6179900114716652 -6.545936220366948 -14.005618690539668 -13.206073168293008 -8.22834721940283 -5.56024194154851 12.446124800174232 -0.330005157706086 79.589474233882626
9.9033628670581759 -6.6618930267428631 -10.952842939096064 -10.195637038792547 -3.1367994467394351 -8.2734087722359266 -13.309638618841856 -13.697434946076049 -10.209837313251992 -2.879323223019902 12.555971664856305 2.0525123504338367 80.007584348451346
9.9946928106374013 -5.190722386456267 -10.395300756134617 -16.037326963017279 -7.0262422970682739 -8.3825526249759452 -8.83212929204129 -12.649171292248724 -15.721296246754237 -4.1744371671360989 11.204397759884767 1.75135588856336 80.274593155853921
10.660859697316081 -4.095540340199026 -12.52925341810286 -17.067978844452302 -7.5068898793794983 -4.9515548487101917 -9.6881542529818265 -10.616543007571671 -11.962970093381241 -6.2806990835026433 9.2196460215450546 -0.73730441151551851 81.43039910026954
9.0186771343721652 -5.4310421479053081 -9.5407185362199645 -20.880125783073016 -12.935893982468484 -6.4931526522887717 -4.509917111723329 -9.1889093255344 -13.696561627003513 -3.8523921583092338 5.6154250579232343 1.1869488301560371 83.545674168938916
8.1222749138923582 -5.2168933880608126 -10.543456695537994 -22.125979262928855 -12.728280185717921 -5.7694863872579782 -3.4226641563855944 -9.7578601610621085 -11.26228960679336 -2.4081013960986346 11.507352192756402 0.60420688075712 85.085109733228492
6.71948763855481 -9.00582402853988 -12.789491963148567 -24.515204064713895 -13.313601117046915 -4.63619443371731 -2.9913924781680827 -8.01458994971683 -8.73902969192711 0.33153607172310628 7.2915805004756118 -4.5265083838933915 84.3003496497871
5.1319631824082643 -9.79725719031924 -14.675058809493269 -25.247879443598045 -11.150703366426226 3.727520909766465 -1.0298802477124294 -9.7219003370150663 -7.7694377172109421 2.3410405992552272 3.7655401184136865 -3.5005777607113937 85.920449528618008
